Date,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,State Unassigned,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
2020-04-21,6,639,1,35,126,13,36,0,0,2156,7,2178,255,23,380,46,418,117,18,0,1324,5218,2,12,1,0,49,7,251,1438,0,0,1255,928,2,1184,46,392
2020-04-22,7,695,0,28,97,13,11,0,0,2248,0,2125,103,23,396,46,427,127,4,0,1355,5398,2,12,1,0,51,7,209,1520,0,0,1288,943,2,1285,46,423
2020-04-23,11,725,0,29,126,13,11,0,0,2376,0,2254,97,24,423,53,445,129,4,0,1401,5369,2,12,1,0,56,7,214,1596,0,0,1342,970,2,1300,47,456
2020-04-24,18,781,0,16,179,13,11,0,0,1604,0,2423,86,20,340,48,304,117,2,0,1544,5559,2,11,1,0,61,7,226,1535,0,0,1414,706,0,1394,49,393
2020-04-25,22,814,0,16,207,13,5,0,0,1702,0,2656,93,15,377,56,330,117,4,0,1565,6348,2,11,1,0,65,8,234,1539,0,0,1480,658,0,1505,48,450
2020-04-26,22,835,0,8,219,19,5,0,0,1987,0,2886,94,16,380,66,302,124,4,0,1685,6650,0,11,1,0,67,8,218,1519,0,0,1544,660,0,1516,25,486
2020-04-27,22,911,0,8,288,28,5,0,0,2177,0,2992,85,16,375,83,299,123,4,0,1698,6939,0,11,1,0,73,3,211,1472,0,0,1596,662,0,1556,28,524
2020-04-28,18,970,0,30,300,39,3,0,0,788,0,3159,81,13,381,83,297,123,6,0,1894,7666,0,7,1,0,79,3,222,1568,0,0,916,668,0,1557,31,388
2020-04-29,18,1014,0,28,337,51,3,0,0,788,0,3358,83,13,381,85,298,123,5,0,1969,7890,0,10,1,0,85,3,255,1567,0,0,929,668,0,1557,29,388
2020-04-30,17,1051,0,32,339,56,4,0,0,788,0,3568,100,10,390,88,328,110,5,0,2006,8266,0,10,1,0,100,3,356,1631,0,0,1038,665,0,1620,24,388
2020-05-01,17,1027,0,9,377,70,4,0,0,788,0,3750,112,8,384,89,330,102,5,0,2046,8240,0,1,1,0,93,3,457,1488,0,0,1186,671,0,1631,21,388
2020-05-02,7,1051,0,9,378,75,7,0,0,788,0,3896,129,5,404,91,304,96,6,0,2015,9896,0,1,1,0,100,7,640,1462,0,0,1387,653,2,1745,21,388
2020-05-03,1,1062,0,9,396,77,21,0,0,788,0,4096,192,5,406,85,295,95,25,0,1883,10311,0,1,1,0,101,6,964,1459,0,0,1614,674,14,1848,22,388
2020-05-04,1,1093,0,9,400,80,22,0,0,788,0,4290,257,5,415,85,302,34,25,0,1988,10311,0,1,1,0,108,6,1081,1546,0,0,2110,677,27,1969,22,908
2020-05-05,1,1094,0,11,397,93,23,1,0,788,0,4496,286,5,413,89,312,37,25,0,1873,12443,0,1,0,0,115,3,1293,1544,0,0,2540,677,40,1837,21,939
2020-05-06,1,1012,0,10,380,102,23,0,1,787,0,4729,327,6,445,91,309,30,25,0,1854,13288,0,1,0,0,122,3,1364,1455,0,0,3278,688,62,1809,21,1047
2020-05-07,0,1015,0,18,327,112,23,0,1,787,0,4879,358,6,449,92,308,25,25,0,1828,14186,0,1,0,0,155,3,1467,1439,0,0,3825,638,62,1759,21,1101
2020-05-08,0,1004,0,22,307,124,23,0,1,4230,0,5082,360,10,450,88,346,16,25,0,1792,14862,0,1,0,0,205,7,1550,1465,0,0,4364,376,86,1761,17,1195
2020-05-09,0,999,0,26,288,143,16,0,1,4454,0,5234,376,11,459,75,377,17,24,0,1766,15649,0,2,0,0,224,2,1574,1440,0,0,4667,382,133,1800,20,1243
2020-05-10,0,1010,0,26,336,146,10,0,1,4781,0,5157,394,14,469,76,394,20,21,0,1723,17140,0,2,0,0,306,4,1626,1465,0,0,5198,415,149,1735,21,1337
2020-05-11,0,975,0,24,366,150,6,0,1,5031,0,5249,382,18,442,80,404,27,20,0,1817,17747,0,2,0,0,326,3,1678,1551,0,0,5898,444,150,1735,21,1374
2020-05-12,0,949,0,23,442,156,6,0,0,5041,0,5121,427,25,469,90,460,32,20,0,1901,18381,0,2,0,0,349,3,1711,1555,0,0,6523,472,152,1709,22,1363
2020-05-13,0,948,0,38,564,158,4,0,0,5034,0,5140,364,26,495,87,474,41,21,0,1937,19400,0,1,0,0,392,4,1692,1634,0,0,6987,394,152,1707,25,1381
2020-05-14,0,965,0,45,592,151,3,0,0,5310,8,5253,368,33,487,107,491,64,21,0,2018,20446,1,1,0,0,463,4,1680,1771,0,0,7368,428,126,1742,27,1394
2020-05-15,0,1007,0,47,573,148,4,0,0,5254,8,5291,377,37,489,111,540,80,19,0,2073,21468,1,1,0,0,503,7,1595,1893,0,0,7438,461,127,1797,30,1407
2020-05-16,0,953,0,49,731,137,9,0,0,5278,13,6056,360,36,567,101,560,87,19,0,2232,22483,5,1,0,0,538,7,657,1890,0,0,6973,504,103,1713,39,1452
2020-05-17,0,874,0,57,803,137,26,0,0,5405,22,6222,334,37,595,107,601,101,19,0,2326,24167,5,1,0,0,604,7,563,2016,0,0,6973,525,82,1716,39,1480
2020-05-18,0,830,0,70,941,139,34,0,0,5409,31,6248,316,45,665,98,679,130,0,0,2549,25372,5,0,0,0,595,8,396,2151,0,0,7272,556,76,1704,43,1575
2020-05-19,0,816,0,112,993,139,36,0,0,5638,39,6379,323,42,653,118,812,142,0,0,2576,26172,5,0,0,0,666,12,322,2365,0,814,7468,585,53,1885,58,1637
2020-05-20,0,843,0,133,1027,63,51,0,0,5720,43,6571,331,56,694,149,865,161,1,0,2734,27589,23,1,0,0,703,13,173,2464,0,1096,7221,610,57,1982,68,1714
2020-05-21,0,846,0,152,1407,48,69,0,0,5898,45,6649,336,93,745,164,993,177,1,0,2866,28462,23,1,0,0,703,13,170,2591,0,1096,7590,618,25,2173,92,1745
2020-05-22,0,881,0,199,1465,38,73,0,0,6214,47,6591,346,109,749,184,1105,216,1,0,2809,30482,24,1,0,0,746,13,143,2666,0,1620,7526,670,27,2173,99,1846
2020-05-23,0,879,0,286,1754,43,150,0,1,6412,39,6671,365,124,774,206,1308,275,6,0,2823,32209,25,1,0,0,765,16,136,2796,1,1899,7917,696,39,2456,188,1909
2020-05-24,0,883,1,331,1861,79,188,0,1,6617,50,6793,403,140,791,218,1392,322,9,0,2967,33996,30,1,0,0,779,29,122,3017,1,2338,7841,709,29,2569,256,2056
2020-05-25,0,938,1,473,1991,75,225,0,1,7006,48,6944,395,156,836,253,1432,359,10,0,2988,35186,32,2,0,3,782,32,128,3079,1,2642,8232,700,33,2668,287,2124
2020-05-26,0,909,1,600,2154,87,281,0,1,7223,39,6775,465,180,902,264,1490,416,10,0,3030,36012,35,2,0,4,777,32,148,3090,1,2970,8258,650,44,2723,332,2240
2020-05-27,0,994,1,692,2103,87,281,0,1,7690,31,6718,525,201,1041,263,1605,445,11,0,3021,37133,40,7,0,9,774,32,181,3082,1,4013,8500,714,77,2818,386,2325
2020-05-28,0,1053,1,749,2252,96,315,0,1,8470,31,6609,604,202,1150,275,1667,525,31,0,3082,38948,51,8,0,18,766,36,172,3072,1,4332,8676,844,77,2758,417,2573
2020-05-29,0,1036,2,895,2294,96,314,0,1,9142,28,6353,762,206,1261,300,1838,577,31,0,3042,33133,53,14,0,25,737,36,206,2937,1,4673,8776,973,87,2834,610,2736
2020-05-30,0,1112,2,1018,2233,86,344,0,1,10058,28,6117,932,200,1405,302,1874,624,34,0,3104,34890,54,14,0,36,760,34,222,2685,1,4673,9021,1010,99,2837,642,2851
2020-05-31,0,1169,3,1105,2475,90,377,0,1,10893,27,5837,1023,215,1491,349,1950,670,30,0,2897,36040,60,14,0,43,813,34,231,2604,1,5121,9400,1188,144,3015,800,3027
2020-06-01,0,1238,19,1175,2181,79,426,0,2,11565,23,5374,1280,216,1624,374,2026,708,30,0,2922,37543,72,15,0,43,850,54,257,2688,1,5630,10138,1213,245,3109,732,3141
2020-06-02,0,1313,27,1172,2269,82,425,0,2,12333,22,4646,1560,203,1732,421,2339,774,33,0,2835,38502,75,17,12,49,991,54,279,2735,1,6414,10680,1273,298,3324,784,3423
2020-06-03,0,1439,36,1413,2276,82,455,0,10,13488,69,4783,1842,204,1816,462,2496,832,41,0,2772,39944,70,19,13,58,963,58,300,2699,2,7123,11348,1365,347,3383,796,3583
2020-06-04,0,1512,41,1610,2304,75,548,0,10,14447,109,4787,2134,199,2059,438,2653,884,45,0,2748,41402,86,19,16,80,988,57,325,2545,2,7123,12132,1455,473,3553,843,3753
2020-06-05,0,1612,43,1640,2336,31,630,0,13,15311,131,4918,2364,197,2202,447,3085,973,48,0,2734,42224,94,19,21,94,994,61,344,2507,2,7250,12697,1550,473,3828,857,4025
2020-06-06,0,1747,47,1875,2504,34,660,0,18,16229,202,5074,2648,201,2302,521,3179,1030,48,0,2721,42609,105,19,23,99,1055,59,373,2605,7,7832,13523,1663,576,3927,866,4236
2020-06-07,0,1915,49,1919,2635,37,803,0,18,17125,235,5205,2946,183,2830,606,3257,1096,52,0,2658,43601,120,22,33,112,951,70,451,2605,7,8250,14416,1771,610,4076,810,4488
2020-06-08,0,2018,56,1982,2674,41,858,0,20,17712,263,5330,3115,189,2916,764,3175,1175,52,0,2688,44385,214,25,41,114,990,75,482,2520,7,7477,15413,1771,648,4320,678,4743
2020-06-09,1,2177,55,1829,2652,36,859,0,20,18543,292,5358,3357,191,2792,849,3248,1232,57,0,2700,44859,240,29,87,119,996,77,497,2662,13,8443,16282,2030,673,4365,763,4950
2020-06-10,2,2300,57,1824,2730,34,884,0,25,19581,320,5464,3339,185,2785,951,3108,1239,64,0,2730,46087,247,30,92,106,957,84,518,2772,10,8959,17182,2138,658,4318,710,5117
2020-06-11,5,2381,63,1867,2828,34,971,0,26,20871,350,5573,3643,184,2702,961,3195,1259,80,0,2768,47980,293,25,101,101,1020,88,569,2798,10,8571,17662,2162,636,4451,748,5338
2020-06-12,5,2465,76,1891,2745,45,895,0,28,22212,394,5645,3789,176,2591,963,2995,1304,176,0,2802,49628,312,21,103,115,1011,84,641,2785,60,7955,18284,2132,684,4642,750,5587
2020-06-13,5,2591,82,2072,2568,50,875,0,29,22742,453,5739,3868,177,2554,887,3092,1342,368,0,2817,51379,376,20,106,79,1116,91,671,2782,58,7955,18881,2203,729,4858,677,5693
2020-06-14,7,2752,84,2066,2464,52,942,0,33,24032,490,5779,4117,174,2593,887,2951,1340,468,0,2666,53017,367,17,111,72,1187,99,717,2836,63,7407,19679,2412,645,4948,676,5552
2020-06-15,8,2985,88,1930,2398,50,867,0,34,25002,507,5926,4057,196,2536,835,2981,1348,472,0,2567,50554,339,17,116,89,1187,103,753,2895,63,6943,20681,2240,655,5064,621,5515
2020-06-16,11,3119,92,2076,2200,58,841,0,45,26351,544,6004,4162,181,2454,709,2975,1367,563,0,2442,50044,341,15,120,76,1175,113,838,2946,64,7655,20709,2188,538,5064,690,5386
2020-06-17,11,3340,93,2026,2125,58,756,0,47,27741,560,6149,4493,199,2428,734,2823,1352,594,0,2374,51922,360,11,120,90,1277,131,881,2904,66,8244,21993,2412,576,5477,730,5262
2020-06-18,10,3632,92,2028,2035,62,735,0,46,27741,596,6239,4528,204,2340,710,2842,1358,591,0,2308,53902,407,10,129,84,1354,150,962,2785,66,8674,23068,2531,514,5659,680,5216
2020-06-19,12,3960,92,1810,2143,60,703,0,60,27512,607,6412,4710,222,2411,615,2942,1380,648,0,2339,55652,463,10,121,73,1366,162,1104,2826,49,8898,23512,2976,523,6092,703,5258
2020-06-20,12,4240,120,1776,2087,68,755,0,57,23340,625,6396,4946,231,2417,609,3169,1450,718,0,2343,57986,545,10,131,63,1307,200,1176,2926,49,9236,24825,3363,531,6237,809,5126
2020-06-21,11,4516,118,1956,1983,84,841,0,72,24558,683,6296,4918,236,2492,672,3390,1490,702,0,2373,60147,591,5,132,70,1421,218,1275,2955,57,9098,25866,3861,464,6186,802,5093
2020-06-22,11,4826,126,1993,2074,83,803,0,75,23820,711,6278,4940,278,2472,660,3523,1540,710,0,2342,61793,648,7,130,139,1419,226,1309,2966,57,7803,27181,4452,457,6152,838,5102
2020-06-23,10,5123,120,2266,1969,90,846,0,93,24988,702,6197,4844,323,2507,660,3563,1620,783,0,2401,62833,663,4,123,189,1458,228,1245,3049,49,7986,28431,5109,480,6189,886,4930
2020-06-24,15,5423,121,2297,2112,92,806,0,90,26588,660,6169,4897,320,2516,632,3797,1691,657,0,2441,62353,642,4,121,199,1605,276,1415,3023,44,8112,28839,5858,358,6375,850,4880
2020-06-25,17,5760,129,2586,1952,88,715,0,112,26586,658,6318,4885,344,2492,644,3714,1761,573,0,2434,63342,702,4,115,195,1647,306,1457,3077,44,8464,30067,6446,268,6463,880,4852
2020-06-26,29,6147,124,2645,1953,84,647,0,118,27657,667,6348,4657,349,2591,635,3903,1846,478,0,2448,65829,682,5,100,209,1734,322,1634,3218,48,8094,32308,7346,268,6730,848,5039
2020-06-27,29,6648,122,2077,1992,87,652,0,127,28329,706,6564,4737,372,2648,603,4439,1939,405,0,2444,67600,660,5,95,223,1719,388,1608,3186,38,7994,33216,8265,260,6685,827,5293
2020-06-28,38,7021,121,2048,2006,89,619,0,118,27847,717,6780,4689,377,2683,559,5470,2015,376,0,2545,70607,730,7,96,251,1843,385,1557,3261,38,7810,35659,9000,264,6679,752,5451
2020-06-29,45,7479,125,2130,2181,79,632,0,127,26246,724,6947,4476,365,2557,562,6380,2057,347,0,2607,73298,733,7,90,283,1883,417,1516,3334,39,7256,37334,9559,292,6650,662,5535
2020-06-30,52,7897,128,2158,2376,70,595,0,130,26270,716,7125,4340,356,2674,591,7072,2112,324,0,2626,75979,681,10,38,291,1844,430,1557,3375,38,6975,38892,8785,300,6711,585,5761
2020-07-01,55,8071,128,2686,2320,73,623,0,119,27007,713,7411,4202,340,2734,579,8192,2130,295,0,2625,79075,681,12,37,319,1930,426,1530,3317,38,6886,39859,9008,308,6709,562,5959
2020-07-02,58,8586,160,2817,2610,55,637,0,141,26304,744,7511,4239,360,2760,582,9404,2088,261,0,2702,77260,663,14,36,338,2008,459,1488,3284,49,6803,41050,9226,293,6869,510,6083
2020-07-03,62,9096,160,3075,2816,55,637,0,170,26148,800,7840,4057,340,2825,681,10606,2098,225,0,2655,79911,677,18,35,311,2364,427,1514,3331,50,6002,42958,9984,333,7451,498,6200
2020-07-04,53,9473,176,3440,2881,58,621,0,198,25940,853,8058,4031,328,2976,686,11964,2129,178,0,2772,83295,658,26,34,335,2624,485,1641,3445,51,4970,44959,10487,358,7627,522,6329
2020-07-05,53,10043,190,4271,3005,65,615,0,211,25038,818,8279,3796,319,3042,744,13249,2228,178,0,2911,86040,677,28,53,350,2800,484,1711,3780,51,4600,46863,10904,373,8161,530,6658
2020-07-06,67,10860,176,4608,3029,80,647,0,222,25620,745,8574,3893,304,3219,766,14382,2252,168,0,3088,87681,656,44,64,382,2992,517,1828,3949,47,4884,46836,10646,459,8718,505,6973
2020-07-07,73,11200,182,4973,3089,84,673,0,229,25449,739,8914,4075,283,3389,892,15294,2411,180,0,3237,89294,659,49,59,341,3340,512,2020,4357,34,5005,45842,11012,454,9514,538,7243
2020-07-08,75,10894,169,4570,3633,98,677,0,242,23452,824,9112,4302,258,3545,942,16524,2604,158,0,3420,91065,642,54,60,353,3557,553,1901,4715,49,4989,46483,11933,435,9980,534,7705
