,North,Lisbonÿand Tagus Valley,Center,Alentejo,Algarve,Madeira,Azores,Foreigners,New Cases,Total Cases,Stable Patients,Patients in ICU,Daily Deaths, Total Deaths,Daily Recoveries,Total Recoveries
3/2/2020,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
03/03/20,0,1,1,0,0,0,0,0,2,4,0,0,0,0,0,0
03/04/20,1,1,0,0,0,0,0,0,2,6,0,0,0,0,0,0
03/05/20,2,1,0,0,0,0,0,0,3,9,9,0,0,0,0,0
03/06/20,3,1,0,0,0,0,0,0,4,13,13,0,0,0,0,0
03/07/20,7,1,0,0,0,0,0,0,8,21,21,0,0,0,0,0
03/08/20,8,0,0,0,1,0,0,0,9,30,30,0,0,0,0,0
03/09/20,4,4,0,0,1,0,0,0,9,39,38,0,0,0,0,0
03/10/20,0,2,0,0,0,0,0,0,2,41,40,0,0,0,0,0
03/11/20,9,6,2,0,1,0,0,0,18,59,57,0,0,0,0,0
03/12/20,8,5,3,0,2,0,0,1,19,78,107,0,0,0,1,1
03/13/20,9,24,1,0,1,0,0,0,34,112,107,0,0,0,0,1
03/14/20,24,27,2,0,1,0,0,1,57,169,114,10,0,0,0,1
03/15/20,26,43,2,0,3,0,1,0,76,245,139,9,0,0,1,2
03/16/20,35,26,21,0,3,0,0,1,86,331,139,18,1,1,1,3
03/17/20,58,38,20,0,1,0,0,1,117,448,206,17,0,1,0,3
03/18/20,93,63,23,2,7,1,2,3,194,642,89,20,1,2,0,3
03/19/20,92,35,12,0,4,0,0,0,143,785,89,20,1,3,0,3
03/20/20,125,83,20,0,4,0,0,0,235,"1,020",126,26,3,6,2,5
03/21/20,138,87,31,1,2,4,0,0,260,"1,280",156,35,6,12,0,5
03/22/20,181,86,43,2,4,2,1,1,320,"1,600",169,41,2,14,0,5
03/23/20,182,203,58,0,7,2,7,1,460,"2,060",201,47,9,23,9,14
03/24/20,123,115,55,1,4,3,1,0,302,"2,362",203,48,10,33,8,22
03/25/20,387,140,72,6,16,4,5,3,633,"2,995",276,61,10,43,0,22
03/26/20,341,90,70,8,27,(-1),7,7,549,"3,544",191,61,17,60,21,43
03/27/20,585,28,85,10,10,6,0,0,724,"4,268",354,71,16,76,0,43
03/28/20,592,177,127,4,7,10,6,(-21),902,"5,170",418,89,24,100,0,43
03/29/20,515,191,72,7,2,12,3,0,792,"5,962",486,136,19,119,0,43
03/30/20,246,99,75,4,8,1,8,0,446,"6,408",571,164,21,140,0,43
03/31/20,651,222,127,5,21,2,8,0,"1,035","7,443",627,188,20,160,0,43
04/01/20,458,199,132,4,14,2,3,0,808,"8,251",726,230,27,187,0,43
04/02/20,428,209,116,5,18,0,5,0,783,"9,034","1,042",240,22,209,25,68
04/03/20,561,140,125,3,15,2,6,0,852,"9,886","1,058",245,37,246,0,68
04/04/20,381,166,86,1,3,1,0,0,638,"10,524","1,075",251,20,266,7,75
04/05/20,250,391,70,19,19,1,4,0,754,"11,278","1,084",267,29,295,0,75
04/06/20,176,166,79,2,28,0,1,0,452,"11,730","1,099",270,16,311,65,140
04/07/20,346,115,245,1,5,0,0,0,712,"12,442","1,180",271,34,345,44,184
04/08/20,334,239,99,8,17,0,2,0,699,"13,141","1,211",245,35,380,12,196
04/09/20,716,27,40,1,9,1,21,0,815,"13,956","1,173",241,29,409,9,205
04/10/20,795,370,292,31,19,6,3,0,"1,516","15,472","1,179",226,26,435,28,233
04/11/20,367,13,130,5,0,0,0,0,515,"15,987","1,175",233,35,470,33,266
04/12/20,483,7,99,9,0,0,0,0,598,"16,585","1,177",228,34,504,11,277
04/13/20,237,55,51,1,5,0,0,0,349,"16,934","1,187",188,31,535,0,277
04/14/20,318,98,72,15,5,0,6,0,514,"17,448","1,227",218,32,567,70,347
04/15/20,449,108,80,0,5,0,0,0,643,"18,091","1,200",208,32,599,36,383
04/16/20,486,135,127,1,5,(-6),2,0,750,"18,841","1,302",229,30,629,110,493
04/17/20,87,65,22,2,5,0,0,0,181,"19,022","1,284",222,28,657,26,519
04/18/20,438,136,85,0,1,1,2,0,663,"19,685","1,253",228,30,687,91,610
04/19/20,386,62,60,0,4,7,2,0,521,"20,206","1,243",224,27,714,0,610
04/20/20,395,209,29,3,1,19,1,0,657,"20,863","1,208",215,21,735,0,610
04/21/20,263,187,47,12,2,5,0,0,516,"21,379","1,172",213,27,762,307,917
04/22/20,344,197,54,3,3,0,2,0,603,"21,982","1,146",207,23,785,226,"1,143"
04/23/20,232,101,31,5,2,0,0,0,371,"22,353","1,095",204,35,820,58,"1,201"
04/24/20,325,83,32,2,2,0,0,0,444,"22,797","1,068",188,34,854,27,"1,228"
04/25/20,365,158,67,2,0,1,2,0,595,"23,392","1,040",186,26,880,49,"1,277"
04/26/20,314,96,49,2,2,0,9,0,472,"23,864","1,005",182,23,903,52,"1,329"
04/27/20,110,25,20,2,6,0,0,0,163,"24,027",995,176,25,928,28,"1,357"
04/28/20,206,37,37,12,2,0,1,0,295,"24,322",936,172,20,948,32,"1,389"
04/29/20,13,102,51,13,0,0,4,0,183,"24,505",980,169,25,973,81,"1,470"
04/30/20,375,120,49,(-7),1,0,2,0,540,"25,045",968,172,16,989,49,"1,519"
05/01/20,141,124,30,11,0,0,0,0,306,"25,351",892,154,18,"1,007",128,"1,647"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
